title,description,author,contact,email_contact,update_date,url,data_type,access
"SGS-LTER Aboveground NPP on and off US Forest Service Burns on the Pawnee National Grassland, Colorado, USA 1997-2004","<p>This data package was produced by researchers working on the Shortgrass Steppe Long Term Ecological Research (SGS-LTER) Project, administered at Colorado State University. Long-term datasets and background information (proposals, reports, photographs, etc.) on the SGS-LTER project are contained in a comprehensive project collection within the Digital Collections of Colorado (<a href=""http://digitool.library.colostate.edu/R/?func=collections&collection_id=3429"">http://digitool.library.colostate.edu/R/?func=collections&collection_id=...</a>). The data table and associated metadata document, which is generated in Ecological Metadata Language, may be available through other repositories serving the ecological research community and represent components of the larger SGS-LTER project collection.<br />
Most investigators studying grasslands have assumed that the low standing biomass of the SGS created a system with a low probability of carrying fire, and thus a minimal historical role of fire. Nonetheless, there are years with aboveground biomass equivalent to the mixed grass prairie, and a high frequency of lightening storms. Regardless of the historical role of fire in SGS, there are new questions regarding its utility in managing for the presence of the threatened mountain plover, which only nests in areas of low plant biomass. United States Forest Service, Pawnee National Grassland recently initiated a burning program in the mid 1990s to address questions about using fire to increase plover habitat; we have collected data on some of these plots to investigate the influence of fire on SGS vegetation. Several datasets were created between 1999 and 2004 by SGS-LTER researchers, including measurements of shrub and cactus mortality rates, aboveground net primary production, amounts of litter and standing dead, and aboveground nitrogen dynamics in burned and control plots in the western section of the Pawnee National Grassland. Additional information and referenced materials can be found: <a href=""http://hdl.handle.net/10217/83326"">http://hdl.handle.net/10217/83326</a>.</p>
",Agricultural Research Service,"Milchunas, Daniel",mailto:daniel.milchunas@colostate.edu,2021-09-24,https://portal.edirepository.org/nis/mapbrowse?scope=knb-lter-sgs&amp;identifier=127,text/html,public
"SGS-LTER Avian Road Counts (Breeding Bird Survey) in eastern Colorado, USA 1994-2002","<p>This data package was produced by researchers working on the Shortgrass Steppe Long Term Ecological Research (SGS-LTER) Project, administered at Colorado State University. Long-term datasets and background information (proposals, reports, photographs, etc.) on the SGS-LTER project are contained in a comprehensive project collection within the Digital Collections of Colorado. The data table and associated metadata document, which is in Ecological Metadata Language, may be available through other repositories serving the ecological research community and represent components of the larger SGS-LTER project collection.<br />
The Breeding Bird Survey is a large-scale survey of North American birds. It is a roadside survey, primarily covering the continental United States and southern Canada, although survey routes have recently been initiated in Alaska and northern Mexico. The BBS was started in 1966, and the over 3,500 routes are surveyed in June by experienced birders. Routes 305, Nunn and 901, Rockport are located in the area of the SGS research site. The primary objective of the BBS has been the estimation of population change for songbirds. However, the data have many potential uses, and investigators have used the data to address a variety of research and management objectives. In the USGS-BBS Home Page, reults from the BBS are summarized, and pictures of birds and other species information. Data from 1966 - 2002 were managed by the SGS-LTER project. Additional information and referenced materials can be found: <a href=""http://hdl.handle.net/10217/82150"">http://hdl.handle.net/10217/82150</a>.</p>
",Agricultural Research Service,"Kaplan, Nicole",mailto:nicole.kaplan@colostate.edu,2021-09-24,https://portal.edirepository.org/nis/mapbrowse?scope=knb-lter-sgs&amp;identifier=107,text/html,public
"SGS-LTER Bouteloua gracilis Removal Experiment Vegetation Density Data on the Central Plains Experimental Range, Nunn, Colorado, USA 1997-2008","<p>This data package was produced by researchers working on the Shortgrass Steppe Long Term Ecological Research (SGS-LTER) Project, administered at Colorado State University. Long-term datasets and background information (proposals, reports, photographs, etc.) on the SGS-LTER project are contained in a comprehensive project collection within the Digital Collections of Colorado (<a href=""http://digitool.library.colostate.edu/R/?func=collections&collection_id=3429"">http://digitool.library.colostate.edu/R/?func=collections&collection_id=...</a>). The data table and associated metadata document, which is generated in Ecological Metadata Language, may be available through other repositories serving the ecological research community and represent components of the larger SGS-LTER project collection.<br />
Six sites approximately 6 km apart were selected at the Central Plains Experimental Range in 1997. Within each site, there was a pair of adjacent ungrazed and moderately summer grazed (40-60% removal of annual aboveground production by cattle) locations. Grazed locations had been grazed from 1939 to present and ungrazed locations had been protected from 1991 to present by the establishment of exclosures. Within grazed and ungrazed locations, all tillers and root crowns of B. gracilis were removed from two treatment plots (3 m x 3 m) with all other vegetation undisturbed. Two control plots were established adjacent to the treatment plots. Plant density was measured annually by species in a fixed 1m x 1m quadrat in the center of treatment and control plots. For clonal species, an individual plant was defined as a group of tillers connected by a crown Coffin & Lauenroth 1988, Fair et al. 1999). Seedlings were counted as separate individuals. In the same quadrat, basal cover by species, bare soil, and litter were estimated annually using a point frame. A total of 40 points were read from four locations halfway between the center point and corners of the 1m x 1m quadrat. Density was measured from 1998 to 2005 and cover from 1997 to 2006. All measurements were taken in late June/early July.</p>
",Agricultural Research Service,"Lauenroth, William",mailto:wlauenro@uwyo.edu,2021-09-24,https://portal.edirepository.org/nis/mapbrowse?scope=knb-lter-sgs&amp;identifier=702,text/html,public
"SGS-LTER Bouteloua gracilis Removal Experiment Vegetation Point of Intercept (Cover) Data on the Central Plains Experimental Range, Nunn, Colorado USA 1997-2005, ARS Study Number 155","<p>This data package was produced by researchers working on the Shortgrass Steppe Long Term Ecological Research (SGS-LTER) Project, administered at Colorado State University. Long-term datasets and background information (proposals, reports, photographs, etc.) on the SGS-LTER project are contained in a comprehensive project collection within the Digital Collections of Colorado (<a href=""http://digitool.library.colostate.edu/R/?func=collections&collection_id=3429"">http://digitool.library.colostate.edu/R/?func=collections&collection_id=...</a>). The data table and associated metadata document, which is generated in Ecological Metadata Language, may be available through other repositories serving the ecological research community and represent components of the larger SGS-LTER project collection.<br />
Six sites approximately 6 km apart were selected at the Central Plains Experimental Range in 1997. Within each site, there was a pair of adjacent ungrazed and moderately summer grazed (40-60% removal of annual aboveground production by cattle) locations. Grazed locations had been grazed from 1939 to present and ungrazed locations had been protected from 1991 to present by the establishment of exclosures. Within grazed and ungrazed locations, all tillers and root crowns of B. gracilis were removed from two treatment plots (3 m x 3 m) with all other vegetation undisturbed. Two control plots were established adjacent to the treatment plots. Plant density was measured annually by species in a fixed 1m x 1m quadrat in the center of treatment and control plots. For clonal species, an individual plant was defined as a group of tillers connected by a crown (Coffin and Lauenroth 1988, Fair et al. 1999). Seedlings were counted as separate individuals. In the same quadrat, basal cover by species, bare soil, and litter were estimated annually using a point frame. A total of 40 points were read from four locations halfway between the center point and corners of the 1m x 1m quadrat. Density was measured from 1998 to 2005 and cover from 1997 to 2006. All measurements were taken in late June/early July.</p>
",Agricultural Research Service,"Lauenroth, William",mailto:wlauenro@uwyo.edu,2021-09-24,https://portal.edirepository.org/nis/mapbrowse?scope=knb-lter-sgs&amp;identifier=703,text/html,public
"SGS-LTER CO2 Elevation Study: Amount of seedlings germinated from surface soil of Open Top Chamber plots on the Central Plains Experimental Range, Nunn, Colorado, USA 1997 - 2001","<p>This data package was produced by researchers working on the Shortgrass Steppe Long Term Ecological Research (SGS-LTER) Project, administered at Colorado State University. Long-term datasets and background information (proposals, reports, photographs, etc.) on the SGS-LTER project are contained in a comprehensive project collection within the Digital Collections of Colorado (<a href=""http://digitool.library.colostate.edu/R/?func=collections&collection_id=3429"">http://digitool.library.colostate.edu/R/?func=collections&collection_id=...</a>). The data table and associated metadata document, which is generated in Ecological Metadata Language, may be available through other repositories serving the ecological research community and represent components of the larger SGS-LTER project collection. Additional information and referenced materials can be found: <a href=""http://hdl.handle.net/10217/82454"">http://hdl.handle.net/10217/82454</a>.<br />
At the end of the Open Top Chamber study, surface soil was removed from each of the 9 plots, and placed in flats in a greenhouse; mist irrigated frequently, and germinated seedlings were identified by species, to get an idea of the available seed bank after 5 years. There was a great amount of variability; overall there was an increase in seeds in the chambered plots. This research was conducted at the Central Plains Experimental Range, near Nunn, CO; lat.40degrees 40 minutes N; long. 104 degrees 45 minutes W in the shortgrass steppe region of NE Colorado, USA and as a collaboration between SGS-LTER and USDA-ARS researchers.</p>
",Agricultural Research Service,"Morgan, Jack",mailto:jack.morgan@ars.usda.gov,2021-09-24,https://portal.edirepository.org/nis/mapbrowse?scope=knb-lter-sgs&amp;identifier=162,text/html,public
"SGS-LTER CO2 Elevation Study: Assimilation vs. intercellular CO2 response curves on Open Top Chamber species on the Central Plains Experimental Range, Nunn, Colorado, USA 1997 - 2001","<p>This data package was produced by researchers working on the Shortgrass Steppe Long Term Ecological Research (SGS-LTER) Project, administered at Colorado State University. Long-term datasets and background information (proposals, reports, photographs, etc.) on the SGS-LTER project are contained in a comprehensive project collection within the Digital Collections of Colorado (<a href=""http://digitool.library.colostate.edu/R/?func=collections&collection_id=3429"">http://digitool.library.colostate.edu/R/?func=collections&collection_id=...</a>). The data table and associated metadata document, which is generated in Ecological Metadata Language, may be available through other repositories serving the ecological research community and represent components of the larger SGS-LTER project collection. Additional information and referenced materials can be found: <a href=""http://hdl.handle.net/10217/82454"">http://hdl.handle.net/10217/82454</a>.<br />
Single leaf gas exchange (CO2 & H2O) was measured several times per season on important grass species in the shortgrass steppe open-top-chamber experiment. Cuvette CO2 levels were varied to investigate physiological adaptations to elevated CO2. C3 grass displayed photosynthetic acclimation, while C4 grass did not. Leaf water-use-efficiency was improved under ECO2. Absolute assimilation rates were more dependent on soil and plant water status than on CO2. This research was conducted at the Central Plains Experimental Range, near Nunn, CO; lat.40degrees 40 minutes N; long. 104 degrees 45 minutes W in the shortgrass steppe region of NE Colorado, USA and as a collaboration between SGS-LTER and USDA-ARS researchers.</p>
",Agricultural Research Service,"Morgan, Jack",mailto:jack.morgan@ars.usda.gov,2021-09-24,https://portal.edirepository.org/nis/mapbrowse?scope=knb-lter-sgs&amp;identifier=153,text/html,public
"SGS-LTER CO2 Elevation Study: Biomass, by species, from ambient and elevated CO2 OTC&#39;s and unchambered controls on the Central Plains Experimental Range, Nunn, Colorado, USA 1997 - 2001","<p>This data package was produced by researchers working on the Shortgrass Steppe Long Term Ecological Research (SGS-LTER) Project, administered at Colorado State University. Long-term datasets and background information (proposals, reports, photographs, etc.) on the SGS-LTER project are contained in a comprehensive project collection within the Digital Collections of Colorado (<a href=""http://digitool.library.colostate.edu/R/?func=collections&collection_id=3429"">http://digitool.library.colostate.edu/R/?func=collections&collection_id=...</a>). The data table and associated metadata document, which is generated in Ecological Metadata Language, may be available through other repositories serving the ecological research community and represent components of the larger SGS-LTER project collection. Additional information and referenced materials can be found: <a href=""http://hdl.handle.net/10217/82454"">http://hdl.handle.net/10217/82454</a>.<br />
Above-ground plant material was harvested, by species, in July (PSC) in five years from ambient and elevated CO2 Open-top-chambers, and unchambered controls. There was a small difference in species composition, in the plots, in 1996; prior to any CO2 treatment; this data should be used as a covariate in looking at subsequent years. There was a consistent increase in plant productivity in the elevated CO2 chambers, primarily in the C3 grass group.</p>
",Agricultural Research Service,"Morgan, Jack",mailto:jack.morgan@ars.usda.gov,2021-09-24,https://portal.edirepository.org/nis/mapbrowse?scope=knb-lter-sgs&amp;identifier=165,text/html,public
"SGS-LTER CO2 Elevation Study: Gas exchange at 8 light levels in major Open Top Chamber species on the Central Plains Experimental Range, Nunn, Colorado, USA 1997 - 2001","<p>This data package was produced by researchers working on the Shortgrass Steppe Long Term Ecological Research (SGS-LTER) Project, administered at Colorado State University. Long-term datasets and background information (proposals, reports, photographs, etc.) on the SGS-LTER project are contained in a comprehensive project collection within the Digital Collections of Colorado (<a href=""http://digitool.library.colostate.edu/R/?func=collections&collection_id=3429"">http://digitool.library.colostate.edu/R/?func=collections&collection_id=...</a>). The data table and associated metadata document, which is generated in Ecological Metadata Language, may be available through other repositories serving the ecological research community and represent components of the larger SGS-LTER project collection. Additional information and referenced materials can be found: <a href=""http://hdl.handle.net/10217/82454"">http://hdl.handle.net/10217/82454</a>.<br />
Single leaf gas exchange (CO2 & H2O) was measured several times per season on important grass species in the shortgrass steppe open-top-chamber experiment. Cuvette light levels were varied to investigate physiological adaptations to elevated CO2. This research was conducted at the Central Plains Experimental Range, near Nunn, CO; lat.40degrees 40 minutes N; long. 104 degrees 45 minutes W in the shortgrass steppe region of NE Colorado, USA and as a collaboration between SGS-LTER and USDA-ARS researchers.</p>
",Agricultural Research Service,"Morgan, Jack",mailto:jack.morgan@ars.usda.gov,2021-09-24,https://portal.edirepository.org/nis/mapbrowse?scope=knb-lter-sgs&amp;identifier=159,text/html,public
"SGS-LTER CO2 Elevation Study: Gas exchange of the major species measured at chamber CO2 concentrations in Open Top Chambers on the Central Plains Experimental Range, Nunn, Colorado, USA 1997 - 2001","<p>This data package was produced by researchers working on the Shortgrass Steppe Long Term Ecological Research (SGS-LTER) Project, administered at Colorado State University. Long-term datasets and background information (proposals, reports, photographs, etc.) on the SGS-LTER project are contained in a comprehensive project collection within the Digital Collections of Colorado (<a href=""http://digitool.library.colostate.edu/R/?func=collections&collection_id=3429"">http://digitool.library.colostate.edu/R/?func=collections&collection_id=...</a>). The data table and associated metadata document, which is generated in Ecological Metadata Language, may be available through other repositories serving the ecological research community and represent components of the larger SGS-LTER project collection. Additional information and referenced materials can be found: <a href=""http://hdl.handle.net/10217/82454"">http://hdl.handle.net/10217/82454</a>.<br />
Single leaf gas exchange (CO2 & H2O) was measured several times per season on important grass species in the shortgrass steppe open-top-chamber experiment, to investigate physiological adaptations to elevated CO2. C3 grass displayed photosynthetic acclimation, while C4 grass did not. Leaf water-use-efficiency was improved under ECO2. Absolute assimilation rates were more dependent on soil and plant water status than on CO2. This research was conducted at the Central Plains Experimental Range, near Nunn, CO; lat.40degrees 40 minutes N; long. 104 degrees 45 minutes W in the shortgrass steppe region of NE Colorado, USA and as a collaboration between SGS-LTER and USDA-ARS researchers.</p>
",Agricultural Research Service,"Morgan, Jack",mailto:jack.morgan@ars.usda.gov,2021-09-24,https://portal.edirepository.org/nis/mapbrowse?scope=knb-lter-sgs&amp;identifier=157,text/html,public
"SGS-LTER CO2 Elevation Study: Leaf carbon isotope, nitrogen, carbon and Ci/Ca means from the SGS Open Top Chamber experiment on the Central Plains Experimental Range, Nunn, Colorado, USA 1997 - 2001","<p>This data package was produced by researchers working on the Shortgrass Steppe Long Term Ecological Research (SGS-LTER) Project, administered at Colorado State University. Long-term datasets and background information (proposals, reports, photographs, etc.) on the SGS-LTER project are contained in a comprehensive project collection within the Digital Collections of Colorado (<a href=""http://digitool.library.colostate.edu/R/?func=collections&collection_id=3429"">http://digitool.library.colostate.edu/R/?func=collections&collection_id=...</a>). The data table and associated metadata document, which is generated in Ecological Metadata Language, may be available through other repositories serving the ecological research community and represent components of the larger SGS-LTER project collection. Additional information and referenced materials can be found: <a href=""http://hdl.handle.net/10217/82454"">http://hdl.handle.net/10217/82454</a>.<br />
Carbon isotopes of elevated and ambient OTC plants were measured for use in isotope labeling and plant water-use-efficiency measures. Leaf N and C are associated parameters were also measured. This research was conducted at the Central Plains Experimental Range, near Nunn, CO; lat.40degrees 40 minutes N; long. 104 degrees 45 minutes W in the shortgrass steppe region of NE Colorado, USA and as a collaboration between SGS-LTER and USDA-ARS researchers.</p>
",Agricultural Research Service,"Morgan, Jack",mailto:jack.morgan@ars.usda.gov,2021-09-24,https://portal.edirepository.org/nis/mapbrowse?scope=knb-lter-sgs&amp;identifier=155,text/html,public
"SGS-LTER CO2 Elevation Study: Leaf water potential, measured with a pressure chamber, from the Open Top Chamber experiment on the Central Plains Experimental Range, Nunn, Colorado, USA 1997 - 2001","<p>This data package was produced by researchers working on the Shortgrass Steppe Long Term Ecological Research (SGS-LTER) Project, administered at Colorado State University. Long-term datasets and background information (proposals, reports, photographs, etc.) on the SGS-LTER project are contained in a comprehensive project collection within the Digital Collections of Colorado (<a href=""http://digitool.library.colostate.edu/R/?func=collections&collection_id=3429"">http://digitool.library.colostate.edu/R/?func=collections&collection_id=...</a>). The data table and associated metadata document, which is generated in Ecological Metadata Language, may be available through other repositories serving the ecological research community and represent components of the larger SGS-LTER project collection. Additional information and referenced materials can be found: <a href=""http://hdl.handle.net/10217/82454"">http://hdl.handle.net/10217/82454</a>.<br />
Leaf water potential of the three major grass species in ambient, elevated open-top-chambers and unchambered controls, was measured nearly weekly, from 1997-2001 using a Scholander-type pressure chamber. Water potential was improved under elevated CO2, very consistently and in all species. This research was conducted at the Central Plains Experimental Range, near Nunn, CO; lat.40degrees 40 minutes N; long. 104 degrees 45 minutes W in the shortgrass steppe region of NE Colorado, USA and as a collaboration between SGS-LTER and USDA-ARS researchers.</p>
",Agricultural Research Service,"Morgan, Jack",mailto:jack.morgan@ars.usda.gov,2021-09-24,https://portal.edirepository.org/nis/mapbrowse?scope=knb-lter-sgs&amp;identifier=158,text/html,public
"SGS-LTER CO2 Elevation Study: OTC summer plus fall total harvest data on the Central Plains Experimental Range, Nunn, Colorado, USA 1997 - 2001","<p>This data package was produced by researchers working on the Shortgrass Steppe Long Term Ecological Research (SGS-LTER) Project, administered at Colorado State University. Long-term datasets and background information (proposals, reports, photographs, etc.) on the SGS-LTER project are contained in a comprehensive project collection within the Digital Collections of Colorado (<a href=""http://digitool.library.colostate.edu/R/?func=collections&collection_id=3429"">http://digitool.library.colostate.edu/R/?func=collections&collection_id=...</a>). The data table and associated metadata document, which is generated in Ecological Metadata Language, may be available through other repositories serving the ecological research community and represent components of the larger SGS-LTER project collection. Additional information and referenced materials can be found: <a href=""http://hdl.handle.net/10217/82454"">http://hdl.handle.net/10217/82454</a>.<br />
Above-ground plant material was harvested in July (PSC) and Oct. in five years of CO2 enrichment in Open-top-chambers. There was a consistent increase in plant productivity in the elevated CO2 chambers.</p>
",Agricultural Research Service,"Morgan, Jack",mailto:jack.morgan@ars.usda.gov,2021-09-24,https://portal.edirepository.org/nis/mapbrowse?scope=knb-lter-sgs&amp;identifier=154,text/html,public
"SGS-LTER CO2 Elevation Study: Percent sand, silt & clay from each block and treatment of the Open Top Chambers on the Central Plains Experimental Range, Nunn, Colorado, USA 1997 - 2001","<p>This data package was produced by researchers working on the Shortgrass Steppe Long Term Ecological Research (SGS-LTER) Project, administered at Colorado State University. Long-term datasets and background information (proposals, reports, photographs, etc.) on the SGS-LTER project are contained in a comprehensive project collection within the Digital Collections of Colorado (<a href=""http://digitool.library.colostate.edu/R/?func=collections&collection_id=3429"">http://digitool.library.colostate.edu/R/?func=collections&collection_id=...</a>). The data table and associated metadata document, which is generated in Ecological Metadata Language, may be available through other repositories serving the ecological research community and represent components of the larger SGS-LTER project collection. Additional information and referenced materials can be found: <a href=""http://hdl.handle.net/10217/82454"">http://hdl.handle.net/10217/82454</a>.<br />
Soil cores, divided at 7 depths, from the shortgrass steppe Open Top Chamber experiment were analyzed for percent sand, silt and clay. It was found that soils were fairly consistent across treatments. This research was conducted at the Central Plains Experimental Range, near Nunn, CO; lat.40degrees 40 minutes N; long. 104 degrees 45 minutes W in the shortgrass steppe region of NE Colorado, USA and as a collaboration between SGS-LTER and USDA-ARS researchers.</p>
",Agricultural Research Service,"Morgan, Jack",mailto:jack.morgan@ars.usda.gov,2021-09-24,https://portal.edirepository.org/nis/mapbrowse?scope=knb-lter-sgs&amp;identifier=163,text/html,public
"SGS-LTER CO2 Elevation Study: Plant nitrogen, carbon and carbohydrates from Open Top Chamber project on the Central Plains Experimental Range, Nunn, Colorado, USA 1997 - 2001","<p>This data package was produced by researchers working on the Shortgrass Steppe Long Term Ecological Research (SGS-LTER) Project, administered at Colorado State University. Long-term datasets and background information (proposals, reports, photographs, etc.) on the SGS-LTER project are contained in a comprehensive project collection within the Digital Collections of Colorado (<a href=""http://digitool.library.colostate.edu/R/?func=collections&collection_id=3429"">http://digitool.library.colostate.edu/R/?func=collections&collection_id=...</a>). The data table and associated metadata document, which is generated in Ecological Metadata Language, may be available through other repositories serving the ecological research community and represent components of the larger SGS-LTER project collection. Additional information and referenced materials can be found: <a href=""http://hdl.handle.net/10217/82454"">http://hdl.handle.net/10217/82454</a>.<br />
Plant samples from ambient and elevated CO2 open-top chambers, and unchambered controls, were collected for nitrogen, carbon and carbohydrates analysis on many dates over a five year period. In general, under elevated CO2, nitrogen was decreased, carbon was increased and carbohydrates were increased. This research was conducted at the Central Plains Experimental Range, near Nunn, CO; lat.40degrees 40 minutes N; long. 104 degrees 45 minutes W in the shortgrass steppe region of NE Colorado, USA and as a collaboration between SGS-LTER and USDA-ARS researchers.</p>
",Agricultural Research Service,"Morgan, Jack",mailto:jack.morgan@ars.usda.gov,2021-09-24,https://portal.edirepository.org/nis/mapbrowse?scope=knb-lter-sgs&amp;identifier=160,text/html,public
"SGS-LTER CO2 Elevation Study: Stipa comata basal size and plant density per Open Top Chamber plot on the Central Plains Experimental Range, Nunn, Colorado, USA 1997 - 2001","<p>This data package was produced by researchers working on the Shortgrass Steppe Long Term Ecological Research (SGS-LTER) Project, administered at Colorado State University. Long-term datasets and background information (proposals, reports, photographs, etc.) on the SGS-LTER project are contained in a comprehensive project collection within the Digital Collections of Colorado (<a href=""http://digitool.library.colostate.edu/R/?func=collections&collection_id=3429"">http://digitool.library.colostate.edu/R/?func=collections&collection_id=...</a>). The data table and associated metadata document, which is generated in Ecological Metadata Language, may be available through other repositories serving the ecological research community and represent components of the larger SGS-LTER project collection. Additional information and referenced materials can be found: <a href=""http://hdl.handle.net/10217/82454"">http://hdl.handle.net/10217/82454</a>.<br />
At the end of the Open Top Chamber experiment the number and basal size of Stipa comata plants in ambient and elevated (720ppm) chambered and unchambered plots was measured. There was a greater number of small plants and seedlings in the elevated CO2 plots. This research was conducted at the Central Plains Experimental Range, near Nunn, CO; lat.40degrees 40 minutes N; long. 104 degrees 45 minutes W in the shortgrass steppe region of NE Colorado, USA and as a collaboration between SGS-LTER and USDA-ARS researchers.</p>
",Agricultural Research Service,"Morgan, Jack",mailto:jack.morgan@ars.usda.gov,2021-09-24,https://portal.edirepository.org/nis/mapbrowse?scope=knb-lter-sgs&amp;identifier=166,text/html,public
"SGS-LTER CO2 Elevation Study: Visual estimates of plant cover on the OTC project on the Central Plains Experimental Range, Nunn, Colorado, USA 1997 - 2001","<p>This data package was produced by researchers working on the Shortgrass Steppe Long Term Ecological Research (SGS-LTER) Project, administered at Colorado State University. Long-term datasets and background information (proposals, reports, photographs, etc.) on the SGS-LTER project are contained in a comprehensive project collection within the Digital Collections of Colorado (<a href=""http://digitool.library.colostate.edu/R/?func=collections&collection_id=3429"">http://digitool.library.colostate.edu/R/?func=collections&collection_id=...</a>). The data table and associated metadata document, which is generated in Ecological Metadata Language, may be available through other repositories serving the ecological research community and represent components of the larger SGS-LTER project collection. Additional information and referenced materials can be found: <a href=""http://hdl.handle.net/10217/82454"">http://hdl.handle.net/10217/82454</a>.<br />
Every month, during the growing season, from 1997-2001, 10 small quadrats were placed in ambient and elevated CO2 open-top-chambers, and plant cover, by species, was visually estimated. In general, elevated CO2 caused an increase in one C3 grass species, Stipa comata, and a small increase in forbs.</p>
",Agricultural Research Service,"Morgan, Jack",mailto:jack.morgan@ars.usda.gov,2021-09-24,https://portal.edirepository.org/nis/mapbrowse?scope=knb-lter-sgs&amp;identifier=156,text/html,public
"SGS-LTER CO2 Elevation Study: Weekly volumetric soil water content, from TDR probes, for Open Top Chamber plots on the Central Plains Experimental Range, Nunn, Colorado, USA 1997-2001","<p>This data package was produced by researchers working on the Shortgrass Steppe Long Term Ecological Research (SGS-LTER) Project, administered at Colorado State University. Long-term datasets and background information (proposals, reports, photographs, etc.) on the SGS-LTER project are contained in a comprehensive project collection within the Digital Collections of Colorado (<a href=""http://digitool.library.colostate.edu/R/?func=collections&collection_id=3429"">http://digitool.library.colostate.edu/R/?func=collections&collection_id=...</a>). The data table and associated metadata document, which is generated in Ecological Metadata Language, may be available through other repositories serving the ecological research community and represent components of the larger SGS-LTER project collection. Additional information and referenced materials can be found: <a href=""http://hdl.handle.net/10217/82454"">http://hdl.handle.net/10217/82454</a>.<br />
Volumetric soil water content was measured in the 0-15 cm soil depth layer using TDR probes, nearly weekly, in ambient and elevated CO2 open-top-chambers, and unchambered plots. A consistent improvement in SWC was seen in the elevated CO2 plots, while ambient-chambered plots often had lowest SWC. This research was conducted at the Central Plains Experimental Range, near Nunn, CO; lat.40degrees 40 minutes N; long. 104 degrees 45 minutes W in the shortgrass steppe region of NE Colorado, USA and as a collaboration between SGS-LTER and USDA-ARS researchers.</p>
",Agricultural Research Service,"Morgan, Jack",mailto:jack.morgan@ars.usda.gov,2021-09-24,https://portal.edirepository.org/nis/mapbrowse?scope=knb-lter-sgs&amp;identifier=164,text/html,public
"SGS-LTER CO2 Elevation Study: Weights of roots from Open Top Chamber root coring on the Central Plains Experimental Range, Nunn, Colorado, USA 1997 - 2001","<p>This data package was produced by researchers working on the Shortgrass Steppe Long Term Ecological Research (SGS-LTER) Project, administered at Colorado State University. Long-term datasets and background information (proposals, reports, photographs, etc.) on the SGS-LTER project are contained in a comprehensive project collection within the Digital Collections of Colorado (<a href=""http://digitool.library.colostate.edu/R/?func=collections&collection_id=3429"">http://digitool.library.colostate.edu/R/?func=collections&collection_id=...</a>). The data table and associated metadata document, which is generated in Ecological Metadata Language, may be available through other repositories serving the ecological research community and represent components of the larger SGS-LTER project collection. Additional information and referenced materials can be found: <a href=""http://hdl.handle.net/10217/82454"">http://hdl.handle.net/10217/82454</a>.<br />
At the end of the 5-year OTC study, root cores were taken from ambient and elevated-CO2-chambered plots and unchambered controls and sectioned at 10cm intervals for root scanning and weighing. There was a trend for higher root weight under elevated CO2, which corresponded to greater root length, but only in the 0-10cm depth interval. This research was conducted at the Central Plains Experimental Range, near Nunn, CO; lat.40degrees 40 minutes N; long. 104 degrees 45 minutes W in the shortgrass steppe region of NE Colorado, USA and as a collaboration between SGS-LTER and USDA-ARS researchers.</p>
",Agricultural Research Service,"Morgan, Jack",mailto:jack.morgan@ars.usda.gov,2021-09-24,https://portal.edirepository.org/nis/mapbrowse?scope=knb-lter-sgs&amp;identifier=161,text/html,public
"SGS-LTER CPER Hillslope Soil Spatial Variability on the Central Plains Experimental Range, Nunn, Colorado, USA 1983-1984","<p>This data package was produced by researchers working on the Shortgrass Steppe Long Term Ecological Research (SGS-LTER) Project, administered at Colorado State University. Long-term datasets and background information (proposals, reports, photographs, etc.) on the SGS-LTER project are contained in a comprehensive project collection within the Digital Collections of Colorado (<a href=""http://digitool.library.colostate.edu/R/?func=collections&collection_id=3429"">http://digitool.library.colostate.edu/R/?func=collections&collection_id=...</a>). The data table and associated metadata document, which is generated in Ecological Metadata Language, may be available through other repositories serving the ecological research community and represent components of the larger SGS-LTER project collection. Additional information and referenced materials can be found: <a href=""http://hdl.handle.net/10217/83515"">http://hdl.handle.net/10217/83515</a>.<br />
CPER Hillslope Soil Spatial Variability - Pedons were characterized along three parallel transects, spaced at approximate 40 m intervals perpendicular to a hillslope at the CPER. Pedons were described at 7 landscape positions along each transect: summit, shoulder, upper backslope, middle backslope, lower backslope, footslope, and toeslope. Pedons were described by genetic horizon according to the standards of the National Cooperative Soil Survey. Analyses included: particle size; organic C; total N; organic and total P. Bulk Density was estimated using particle size and organic C data, according to: Rawls, W.J. 1983. Estimating soil bulk density from particle size analysis and organic matter content. Soil Sci. 135: 123-125.</p>
",Agricultural Research Service,"Kelly, Eugene",mailto:eugene.kelly@colostate.edu,2021-09-24,https://portal.edirepository.org/nis/mapbrowse?scope=knb-lter-sgs&amp;identifier=131,text/html,public
